city,quarter,best topic,frequency
Asheville,2018Q1,1,7526
Asheville,2018Q1,2,2120
Asheville,2018Q1,3,1216
Asheville,2018Q1,5,747
Asheville,2018Q1,6,141
Asheville,2018Q1,4,105
Asheville,2018Q1,8,92
Asheville,2018Q1,7,85
Asheville,2018Q2,1,11159
Asheville,2018Q2,2,3319
Asheville,2018Q2,3,1914
Asheville,2018Q2,5,1157
Asheville,2018Q2,6,262
Asheville,2018Q2,7,142
Asheville,2018Q2,4,135
Asheville,2018Q2,8,97
Asheville,2018Q3,1,12825
Asheville,2018Q3,2,3524
Asheville,2018Q3,3,2215
Asheville,2018Q3,5,1548
Asheville,2018Q3,6,245
Asheville,2018Q3,4,189
Asheville,2018Q3,7,162
Asheville,2018Q3,8,119
Asheville,2018Q4,1,12786
Asheville,2018Q4,2,3247
Asheville,2018Q4,3,2054
Asheville,2018Q4,5,1542
Asheville,2018Q4,6,231
Asheville,2018Q4,4,193
Asheville,2018Q4,8,159
Asheville,2018Q4,7,132
Asheville,2019Q1,1,9539
Asheville,2019Q1,2,2551
Asheville,2019Q1,3,1515
Asheville,2019Q1,5,1201
Asheville,2019Q1,6,154
Asheville,2019Q1,4,132
Asheville,2019Q1,8,100
Asheville,2019Q1,7,94
Asheville,2019Q2,1,13170
Asheville,2019Q2,2,3711
Asheville,2019Q2,3,2229
Asheville,2019Q2,5,1603
Asheville,2019Q2,6,244
Asheville,2019Q2,4,217
Asheville,2019Q2,8,146
Asheville,2019Q2,7,137
Asheville,2019Q3,1,14581
Asheville,2019Q3,2,3906
Asheville,2019Q3,3,2432
Asheville,2019Q3,5,1692
Asheville,2019Q3,6,298
Asheville,2019Q3,4,211
Asheville,2019Q3,8,156
Asheville,2019Q3,7,141
Asheville,2019Q4,1,15384
Asheville,2019Q4,2,3864
Asheville,2019Q4,3,2463
Asheville,2019Q4,5,1924
Asheville,2019Q4,4,293
Asheville,2019Q4,6,258
Asheville,2019Q4,8,158
Asheville,2019Q4,7,121
Asheville,2020Q1,1,8547
Asheville,2020Q1,2,2182
Asheville,2020Q1,3,1380
Asheville,2020Q1,5,1127
Asheville,2020Q1,4,152
Asheville,2020Q1,6,119
Asheville,2020Q1,8,113
Asheville,2020Q1,7,112
Asheville,2020Q2,1,3368
Asheville,2020Q2,2,794
Asheville,2020Q2,3,466
Asheville,2020Q2,5,423
Asheville,2020Q2,4,51
Asheville,2020Q2,6,45
Asheville,2020Q2,8,45
Asheville,2020Q2,7,17
Asheville,2020Q3,1,10282
Asheville,2020Q3,2,2741
Asheville,2020Q3,3,1559
Asheville,2020Q3,5,1282
Asheville,2020Q3,6,165
Asheville,2020Q3,4,158
Asheville,2020Q3,8,145
Asheville,2020Q3,7,86
Asheville,2020Q4,1,11629
Asheville,2020Q4,2,3081
Asheville,2020Q4,3,1891
Asheville,2020Q4,5,1488
Asheville,2020Q4,4,190
Asheville,2020Q4,6,158
Asheville,2020Q4,8,154
Asheville,2020Q4,7,76
Asheville,2021Q1,1,3947
Asheville,2021Q1,2,909
Asheville,2021Q1,3,597
Asheville,2021Q1,5,533
Asheville,2021Q1,4,71
Asheville,2021Q1,8,63
Asheville,2021Q1,6,60
Asheville,2021Q1,7,30
Austin,2018Q1,1,21466
Austin,2018Q1,2,5829
Austin,2018Q1,3,3273
Austin,2018Q1,5,2869
Austin,2018Q1,7,550
Austin,2018Q1,4,334
Austin,2018Q1,6,295
Austin,2018Q1,8,189
Austin,2018Q2,1,23616
Austin,2018Q2,2,6303
Austin,2018Q2,3,3495
Austin,2018Q2,5,3094
Austin,2018Q2,7,443
Austin,2018Q2,4,335
Austin,2018Q2,6,286
Austin,2018Q2,8,213
Austin,2018Q3,1,22929
Austin,2018Q3,2,5801
Austin,2018Q3,5,3479
Austin,2018Q3,3,3225
Austin,2018Q3,7,440
Austin,2018Q3,4,395
Austin,2018Q3,6,278
Austin,2018Q3,8,197
Austin,2018Q4,1,24239
Austin,2018Q4,2,5981
Austin,2018Q4,5,4059
Austin,2018Q4,3,3385
Austin,2018Q4,4,475
Austin,2018Q4,7,385
Austin,2018Q4,6,278
Austin,2018Q4,8,214
Austin,2019Q1,1,22556
Austin,2019Q1,2,5577
Austin,2019Q1,5,3589
Austin,2019Q1,3,3103
Austin,2019Q1,4,373
Austin,2019Q1,7,326
Austin,2019Q1,6,235
Austin,2019Q1,8,199
Austin,2019Q2,1,26694
Austin,2019Q2,2,6766
Austin,2019Q2,5,4070
Austin,2019Q2,3,3930
Austin,2019Q2,4,495
Austin,2019Q2,6,326
Austin,2019Q2,7,326
Austin,2019Q2,8,264
Austin,2019Q3,1,26596
Austin,2019Q3,2,6331
Austin,2019Q3,5,4367
Austin,2019Q3,3,3744
Austin,2019Q3,4,487
Austin,2019Q3,7,384
Austin,2019Q3,8,283
Austin,2019Q3,6,254
Austin,2019Q4,1,27381
Austin,2019Q4,2,6693
Austin,2019Q4,5,4856
Austin,2019Q4,3,4081
Austin,2019Q4,4,575
Austin,2019Q4,7,403
Austin,2019Q4,6,317
Austin,2019Q4,8,288
Austin,2020Q1,1,15845
Austin,2020Q1,2,3925
Austin,2020Q1,5,2681
Austin,2020Q1,3,2210
Austin,2020Q1,4,316
Austin,2020Q1,7,292
Austin,2020Q1,6,212
Austin,2020Q1,8,189
Austin,2020Q2,1,6834
Austin,2020Q2,2,1489
Austin,2020Q2,5,1238
Austin,2020Q2,3,710
Austin,2020Q2,4,151
Austin,2020Q2,8,123
Austin,2020Q2,6,68
Austin,2020Q2,7,43
Austin,2020Q3,1,12589
Austin,2020Q3,2,2878
Austin,2020Q3,5,2237
Austin,2020Q3,3,1407
Austin,2020Q3,4,240
Austin,2020Q3,8,178
Austin,2020Q3,6,117
Austin,2020Q3,7,106
Austin,2020Q4,1,13004
Austin,2020Q4,2,2996
Austin,2020Q4,5,2294
Austin,2020Q4,3,1627
Austin,2020Q4,4,278
Austin,2020Q4,8,178
Austin,2020Q4,6,141
Austin,2020Q4,7,96
Austin,2021Q1,1,5185
Austin,2021Q1,2,1239
Austin,2021Q1,5,901
Austin,2021Q1,3,621
Austin,2021Q1,4,95
Austin,2021Q1,8,72
Austin,2021Q1,6,42
Austin,2021Q1,7,29
Broward County,2018Q1,1,17323
Broward County,2018Q1,2,4519
Broward County,2018Q1,5,2066
Broward County,2018Q1,3,1858
Broward County,2018Q1,7,482
Broward County,2018Q1,6,431
Broward County,2018Q1,4,258
Broward County,2018Q1,8,142
Broward County,2018Q2,1,15763
Broward County,2018Q2,2,3869
Broward County,2018Q2,5,2029
Broward County,2018Q2,3,1743
Broward County,2018Q2,7,365
Broward County,2018Q2,6,361
Broward County,2018Q2,4,244
Broward County,2018Q2,8,165
Broward County,2018Q3,1,14483
Broward County,2018Q3,2,3704
Broward County,2018Q3,5,1950
Broward County,2018Q3,3,1507
Broward County,2018Q3,7,311
Broward County,2018Q3,6,300
Broward County,2018Q3,4,217
Broward County,2018Q3,8,147
Broward County,2018Q4,1,18037
Broward County,2018Q4,2,4227
Broward County,2018Q4,5,2805
Broward County,2018Q4,3,1855
Broward County,2018Q4,7,475
Broward County,2018Q4,6,404
Broward County,2018Q4,4,307
Broward County,2018Q4,8,198
Broward County,2019Q1,1,26229
Broward County,2019Q1,2,6433
Broward County,2019Q1,5,4473
Broward County,2019Q1,3,2976
Broward County,2019Q1,7,679
Broward County,2019Q1,6,580
Broward County,2019Q1,4,572
Broward County,2019Q1,8,331
Broward County,2019Q2,1,21603
Broward County,2019Q2,2,4845
Broward County,2019Q2,5,3612
Broward County,2019Q2,3,2210
Broward County,2019Q2,7,419
Broward County,2019Q2,6,375
Broward County,2019Q2,4,341
Broward County,2019Q2,8,249
Broward County,2019Q3,1,18483
Broward County,2019Q3,2,4038
Broward County,2019Q3,5,2962
Broward County,2019Q3,3,1724
Broward County,2019Q3,4,314
Broward County,2019Q3,7,305
Broward County,2019Q3,6,278
Broward County,2019Q3,8,205
Broward County,2019Q4,1,22910
Broward County,2019Q4,2,5095
Broward County,2019Q4,5,4219
Broward County,2019Q4,3,2370
Broward County,2019Q4,7,548
Broward County,2019Q4,4,476
Broward County,2019Q4,6,410
Broward County,2019Q4,8,273
Broward County,2020Q1,1,21335
Broward County,2020Q1,2,4765
Broward County,2020Q1,5,4042
Broward County,2020Q1,3,2356
