topic,category,word
1,Overall Positive Stay,host
1,Overall Positive Stay,place
1,Overall Positive Stay,stay
1,Overall Positive Stay,great
1,Overall Positive Stay,clean
2,Issue Related,night
2,Issue Related,room
2,Issue Related,place
2,Issue Related,issue
2,Issue Related,door
3,Nightlife Location,walk
3,Nightlife Location,restaurant
3,Nightlife Location,location
3,Nightlife Location,close
3,Nightlife Location,downtown
4,Accommodations Related,kitchen
4,Accommodations Related,space
4,Accommodations Related,room
4,Accommodations Related,bed
4,Accommodations Related,comfortable
5,Great Value Location,great
5,Great Value Location,location
5,Great Value Location,place
5,Great Value Location,value
5,Great Value Location,price
6,Scenic Location,hill
6,Scenic Location,exploring
6,Scenic Location,garden
6,Scenic Location,bay
6,Scenic Location,ferry
7,Communication Related,question
7,Communication Related,communication
7,Communication Related,respond
7,Communication Related,arrival
7,Communication Related,message
8,Relaxing Vacation,beach
8,Relaxing Vacation,perfect
8,Relaxing Vacation,weekend
8,Relaxing Vacation,cottage
8,Relaxing Vacation,getaway
