city,quarter,label,frequency
Asheville,2018Q1,pos,11749
Asheville,2018Q1,neg,175
Asheville,2018Q1,neu,111
Asheville,2018Q2,pos,17713
Asheville,2018Q2,neg,307
Asheville,2018Q2,neu,173
Asheville,2018Q3,pos,20264
Asheville,2018Q3,neg,378
Asheville,2018Q3,neu,195
Asheville,2018Q4,pos,19776
Asheville,2018Q4,neg,373
Asheville,2018Q4,neu,204
Asheville,2019Q1,pos,14974
Asheville,2019Q1,neg,205
Asheville,2019Q1,neu,118
Asheville,2019Q2,pos,20937
Asheville,2019Q2,neg,333
Asheville,2019Q2,neu,195
Asheville,2019Q3,pos,22791
Asheville,2019Q3,neg,426
Asheville,2019Q3,neu,209
Asheville,2019Q4,pos,23816
Asheville,2019Q4,neg,419
Asheville,2019Q4,neu,240
Asheville,2020Q1,pos,13345
Asheville,2020Q1,neg,237
Asheville,2020Q1,neu,155
Asheville,2020Q2,pos,5094
Asheville,2020Q2,neg,70
Asheville,2020Q2,neu,49
Asheville,2020Q3,pos,16053
Asheville,2020Q3,neg,226
Asheville,2020Q3,neu,147
Asheville,2020Q4,pos,18244
Asheville,2020Q4,neg,274
Asheville,2020Q4,neu,161
Asheville,2021Q1,pos,6093
Asheville,2021Q1,neg,70
Asheville,2021Q1,neu,49
Austin,2018Q1,pos,33429
Austin,2018Q1,neg,701
Austin,2018Q1,neu,694
Austin,2018Q2,pos,36463
Austin,2018Q2,neg,774
Austin,2018Q2,neu,579
Austin,2018Q3,pos,35441
Austin,2018Q3,neg,712
Austin,2018Q3,neu,613
Austin,2018Q4,pos,37689
Austin,2018Q4,neg,752
Austin,2018Q4,neu,602
Austin,2019Q1,pos,34780
Austin,2019Q1,neg,706
Austin,2019Q1,neu,499
Austin,2019Q2,pos,41402
Austin,2019Q2,neg,972
Austin,2019Q2,neu,517
Austin,2019Q3,pos,40908
Austin,2019Q3,neg,918
Austin,2019Q3,neu,645
Austin,2019Q4,pos,42925
Austin,2019Q4,neg,1035
Austin,2019Q4,neu,667
Austin,2020Q1,pos,24723
Austin,2020Q1,neg,528
Austin,2020Q1,neu,436
Austin,2020Q2,pos,10294
Austin,2020Q2,neg,244
Austin,2020Q2,neu,125
Austin,2020Q3,pos,19125
Austin,2020Q3,neg,431
Austin,2020Q3,neu,217
Austin,2020Q4,pos,19970
Austin,2020Q4,neg,451
Austin,2020Q4,neu,216
Austin,2021Q1,pos,7917
Austin,2021Q1,neg,184
Austin,2021Q1,neu,89
Broward County,2018Q1,pos,25118
Broward County,2018Q1,neg,1515
Broward County,2018Q1,neu,465
Broward County,2018Q2,pos,23249
Broward County,2018Q2,neg,935
Broward County,2018Q2,neu,375
Broward County,2018Q3,pos,21274
Broward County,2018Q3,neg,1034
Broward County,2018Q3,neu,333
Broward County,2018Q4,pos,26557
Broward County,2018Q4,neg,1235
Broward County,2018Q4,neu,543
Broward County,2019Q1,pos,39507
Broward County,2019Q1,neg,1996
Broward County,2019Q1,neu,812
Broward County,2019Q2,pos,31899
Broward County,2019Q2,neg,1270
Broward County,2019Q2,neu,535
Broward County,2019Q3,pos,26769
Broward County,2019Q3,neg,1097
Broward County,2019Q3,neu,497
Broward County,2019Q4,pos,33781
Broward County,2019Q4,neg,1795
Broward County,2019Q4,neu,773
Broward County,2020Q1,pos,32088
Broward County,2020Q1,neg,1452
Broward County,2020Q1,neu,686
Broward County,2020Q2,pos,8727
Broward County,2020Q2,neg,342
Broward County,2020Q2,neu,152
Broward County,2020Q3,pos,18701
Broward County,2020Q3,neg,721
Broward County,2020Q3,neu,327
Broward County,2020Q4,pos,21168
Broward County,2020Q4,neg,875
Broward County,2020Q4,neu,378
Broward County,2021Q1,pos,17583
Broward County,2021Q1,neg,960
Broward County,2021Q1,neu,277
Chicago,2018Q1,pos,28769
Chicago,2018Q1,neg,829
Chicago,2018Q1,neu,362
Chicago,2018Q2,pos,49854
Chicago,2018Q2,neg,1672
Chicago,2018Q2,neu,662
Chicago,2018Q3,pos,63451
Chicago,2018Q3,neg,2165
Chicago,2018Q3,neu,781
Chicago,2018Q4,pos,50973
Chicago,2018Q4,neg,1618
Chicago,2018Q4,neu,677
Chicago,2019Q1,pos,33100
Chicago,2019Q1,neg,1033
Chicago,2019Q1,neu,420
Chicago,2019Q2,pos,56137
Chicago,2019Q2,neg,1883
Chicago,2019Q2,neu,669
